"","date","open","high","low","close","log.close","volume"
"4388","10/22/2014",315.43,318.98,312.64,312.97,2.49550271,3130049
"4389","10/23/2014",313.4,316.8,311.4,313.18,2.49579402,9038193
"4393","10/29/2014",299.11,299.61,293.0701,294.12,2.468524557,4883259
"4396","11/3/2014",306.24,308.01,303.24,305.72,2.485323851,3244150
"4397","11/4/2014",303.99,304.25,300.17,302.81,2.481170213,3427384
"4398","11/5/2014",303.01,304,294.16,296.52,2.472053991,4674492
"4399","11/6/2014",296.69,297,292.29,296.64,2.472229712,3758121
"4406","11/17/2014",326.44,328,318.03,323.05,2.509269745,4784933
"4408","11/19/2014",327.25,328.4,324.02,326.54,2.513936388,3281614
"4410","11/21/2014",335.42,338.33,331.47,332.63,2.521961416,4466587
"4412","11/25/2014",335.27,336.3325,331.28,335.04,2.52509666,2564989
"4413","11/26/2014",333.78,334.65,331.75,333.57,2.523186985,1985949
"4415","12/1/2014",338.12,340.64,325.93,326,2.5132176,4944861
"4416","12/2/2014",327.5,327.93,323.25,326.31,2.513630383,2790257
"4417","12/3/2014",325.73,326.77,314.36,316.5,2.500373714,5689904
"4419","12/5/2014",316.8,316.93,310.84,312.63,2.495030651,3265214
"4420","12/8/2014",311.57,316.56,304.821,306.64,2.486628806,3639180
"4422","12/10/2014",312,313.19,304.68,305.84,2.485494285,3245890
"4423","12/11/2014",307.89,312.64,306.01,307.36,2.487647348,3272919
"4425","12/15/2014",308.87,310.86,302.15,306.07,2.485820764,3841577
"4426","12/16/2014",304.35,304.49,295.01,295.06,2.469910338,6501252
"4428","12/18/2014",304.01,304.5,293.25,297.73,2.473822597,7738067
"4431","12/23/2014",306.98,307.49,303.252,306.285,2.486125728,2718359
"4432","12/24/2014",306.38,307,302.875,303.03,2.481485626,1518107
"4436","12/31/2014",311.55,312.98,310.01,310.35,2.49185175,2057766
"4437","1/2/2015",312.58,314.75,306.9601,308.52,2.489283323,2788101
"4438","1/5/2015",307.01,308.38,300.85,302.19,2.480280089,2774231
"4439","1/6/2015",302.24,303,292.38,295.29,2.47024874,3519034
"4442","1/9/2015",301.48,302.87,296.68,296.93,2.472654078,2570947
"4443","1/12/2015",297.56,298.51,289.281,291.41,2.464504451,3421392
"4444","1/13/2015",297.48,301.4976,293.23,294.74,2.469439079,4136442
"4446","1/15/2015",294,295.9995,286.815,286.95,2.457806229,4419196
"4448","1/20/2015",292.59,293.3599,286.39,289.44,2.46155855,3075081
"4452","1/26/2015",311.82,313,307.5201,309.66,2.490885109,3169665
"4454","1/28/2015",309.81,311.51,303.8,303.91,2.482744991,3063774
